"region","type","ware"
"Tonto Basin","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Tonto Basin","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Tonto Basin","Jeddito Black-on-yellow","Jeddito Yellow Ware"
"Tonto Basin","Tonto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Gila Polychrome","Roosevelt Red Ware"
"Tonto Basin","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Tonto Basin","Gila Polychrome","Roosevelt Red Ware"
"Tonto Basin","Tonto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Tonto Basin","Tonto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Gila Polychrome","Roosevelt Red Ware"
"Tonto Basin","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Tonto Basin","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Tonto Basin","Gila Polychrome","Roosevelt Red Ware"
"Tonto Basin","Tonto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Gila Red","Late Middle Gila Red Ware"
"Tonto Basin","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Tonto Basin","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Tonto Basin","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Tonto Basin","Tonto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Gila Polychrome","Roosevelt Red Ware"
"Tonto Basin","Pinedale Polychrome","Late White Mountain Red Ware"
"Tonto Basin","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Tonto Basin","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Tonto Basin","Salado Red","Salado Series"
"Tonto Basin","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Tonto Basin","Fourmile Polychrome","Late White Mountain Red Ware"
"Tonto Basin","Gila Polychrome","Roosevelt Red Ware"
"Tonto Basin","Gila/Tonto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Pinedale Black-on-white","Cibola White Ware"
"Tonto Basin","Pinto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Salado White-on-red","Salado Series"
"Tonto Basin","San Carlos Red-on-brown","San Carlos Brown Ware"
"Tonto Basin","Tonto Polychrome","Roosevelt Red Ware"
"Kayenta/Tusayan","Black Mesa Black-on-white","Tusayan White Ware"
"Kayenta/Tusayan","Sosi Black-on-white","Tusayan White Ware"
"Kayenta/Tusayan","Tusayan Black-on-white","Tusayan White Ware"
"Kayenta/Tusayan","Kayenta Black-on-white","Tusayan White Ware"
"Kayenta/Tusayan","Bidahochi Black-on-white","Hopi White Ware"
"Kayenta/Tusayan","Tusayan White Ware, Undifferentiated","Tusayan White Ware"
"Kayenta/Tusayan","McElmo Black-on-white","Mesa Verde White Ware"
"Kayenta/Tusayan","Mesa Verde Black-on-white","Mesa Verde White Ware"
"Kayenta/Tusayan","Mesa Verde White Ware, Undifferentiated","Mesa Verde White Ware"
"Kayenta/Tusayan","Mesa Verde White Ware, Undifferentiated","Mesa Verde White Ware"
"Kayenta/Tusayan","Little Colorado White Ware, Undifferentiated","Little Colorado White Ware"
"Kayenta/Tusayan","Red Mesa Black-on-white","Cibola White Ware"
"Kayenta/Tusayan","Chaco Black-on-white","Cibola White Ware"
"Kayenta/Tusayan","Gallup Black-on-white","Cibola White Ware"
"Kayenta/Tusayan","Reserve Black-on-white","Cibola White Ware"
"Kayenta/Tusayan","Tularosa Black-on-white","Cibola White Ware"
"Kayenta/Tusayan","Klagetoh Black-on-white","Cibola White Ware"
"Kayenta/Tusayan","Cibola Black-on-white, Undifferentiated","Cibola White Ware"
"Kayenta/Tusayan","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Kayenta/Tusayan","Tusayan Polychrome","Tsegi Orange Ware"
"Kayenta/Tusayan","Kiet Siel Polychrome","Tsegi Orange Ware"
"Kayenta/Tusayan","Tsegi Orange Ware, Undifferentiated","Tsegi Orange Ware"
"Kayenta/Tusayan","Jeddito Yellow ware, Undifferentiated","Jeddito Yellow Ware"
"Kayenta/Tusayan","Sikyatki Polychrome","Jeddito Yellow Ware"
"Kayenta/Tusayan","Kintiel Black-on-orange","Kintiel-Klagetoh Ware"
"Kayenta/Tusayan","Wingate Polychrome","Early White Mountain Red Ware"
"Kayenta/Tusayan","St. Johns Black-on-red","Early White Mountain Red Ware"
"Kayenta/Tusayan","St. Johns Polychrome","Early White Mountain Red Ware"
"Kayenta/Tusayan","Springerville Polychrome","Early White Mountain Red Ware"
"Kayenta/Tusayan","Pinedale Polychrome","Late White Mountain Red Ware"
"Kayenta/Tusayan","Gila Polychrome","Roosevelt Red Ware"
"Kayenta/Tusayan","Plain Gray Ware, Undifferentiated","Plain Gray Ware"
"Upper Little Colorado","Alma Series type","Mogollon Brown Ware"
"Upper Little Colorado","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Upper Little Colorado","Chaco Black-on-white","Cibola White Ware"
"Upper Little Colorado","Puerco Black-on-white","Cibola White Ware"
"Upper Little Colorado","Reserve Black-on-white","Cibola White Ware"
"Upper Little Colorado","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Upper Little Colorado","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Upper Little Colorado","Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Mogollon Highlands","Tularosa White-on-red","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Red-on-brown","Mogollon Brown Ware"
"Mogollon Highlands","Puerco Black-on-white","Cibola White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","St. Johns Polychrome","Early White Mountain Red Ware"
"Mogollon Highlands","Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Mimbres Style III Black-on-white (Classic)","Mimbres White Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola Black-on-white, Undifferentiated","Cibola White Ware"
"Chihuahuan Lowlands","Cloverdale Corrugated type","Cloverdale Brown Ware"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","Playas Red","Playas Red Ware"
"Chihuahuan Lowlands","Playas Red","Playas Red Ware"
"Chihuahuan Lowlands","Huerigos Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Ramos Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Chupadero Black-on-white","Rio Grande White Ware"
"Chihuahuan Lowlands","Gila Polychrome","Roosevelt Red Ware"
"Chihuahuan Lowlands","Tucson Polychrome","Maverick Mountain Series"
"Chihuahuan Lowlands","Cloverdale Corrugated type","Cloverdale Brown Ware"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","Playas Red","Playas Red Ware"
"Chihuahuan Lowlands","Playas Red","Playas Red Ware"
"Chihuahuan Lowlands","Babicora Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Ramos Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","El Paso Polychrome","Jornada Mogollon Brown Ware"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","Mimbres Style III Black-on-white (Classic)","Mimbres White Ware"
"Chihuahuan Lowlands","Chupadero Black-on-white","Rio Grande White Ware"
"Chihuahuan Lowlands","Gila Polychrome","Roosevelt Red Ware"
"Chihuahuan Lowlands","St. Johns Polychrome","Early White Mountain Red Ware"
"Chihuahuan Lowlands","Chupadero Black-on-white","Rio Grande White Ware"
"Chihuahuan Lowlands","Mimbres Style III Black-on-white (Classic)","Mimbres White Ware"
"Chihuahuan Lowlands","St. Johns Polychrome","Early White Mountain Red Ware"
"Chihuahuan Lowlands","Playas Red","Playas Red Ware"
"Chihuahuan Lowlands","Playas Red","Playas Red Ware"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","El Paso Polychrome","Jornada Mogollon Brown Ware"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","Playas Red","Playas Red Ware"
"Chihuahuan Lowlands","Playas Red","Playas Red Ware"
"Chihuahuan Lowlands","Chupadero Black-on-white","Rio Grande White Ware"
"Chihuahuan Lowlands","Gila Polychrome","Roosevelt Red Ware"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","Ramos Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Huerigos Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Gila Polychrome","Roosevelt Red Ware"
"Chihuahuan Lowlands","Villa Ahumada Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","St. Johns Polychrome","Early White Mountain Red Ware"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","Cloverdale Corrugated type","Cloverdale Brown Ware"
"Chihuahuan Lowlands","Chihuahuan type, Undifferentiated","Chihuahuan Series"
"Chihuahuan Lowlands","Gila/Tonto Polychrome","Roosevelt Red Ware"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","El Paso Polychrome","Jornada Mogollon Brown Ware"
"Chihuahuan Lowlands","Chupadero Black-on-white","Rio Grande White Ware"
"Chihuahuan Lowlands","St. Johns Polychrome","Early White Mountain Red Ware"
"Chihuahuan Lowlands","El Paso Polychrome","Jornada Mogollon Brown Ware"
"Chihuahuan Lowlands","Chupadero Black-on-white","Rio Grande White Ware"
"Chihuahuan Lowlands","Mimbres Style III Black-on-white (Classic)","Mimbres White Ware"
"Chihuahuan Lowlands","Gila Polychrome","Roosevelt Red Ware"
"Chihuahuan Lowlands","Brown Corrugated Decorated, Undifferentiated","Mogollon Brown Ware"
"Chihuahuan Lowlands","Tanque Verde Red-on-brown","Tucson Basin Brown Ware"
"Chihuahuan Lowlands","Tularosa Black-on-white","Cibola White Ware"
"Chihuahuan Lowlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Chihuahuan Lowlands","Huerigos Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Tularosa White-on-red","Mogollon Brown Ware"
"Chihuahuan Lowlands","Pinedale Polychrome","Late White Mountain Red Ware"
"Chihuahuan Lowlands","Chihuahuan type, Undifferentiated","Chihuahuan Series"
"Chihuahuan Lowlands","Encinas Red-on-brown","San Simon Series"
"Chihuahuan Lowlands","Sacaton Red-on-buff","Middle Gila Buff Ware and Gray Ware"
"Chihuahuan Lowlands","Dragoon Series Red-on-brown","Dragoon Series"
"Chihuahuan Lowlands","Pinaleno Red-on-brown","San Simon Series"
"Chihuahuan Lowlands","Middle Gila Buff Ware, Undifferentiated","Middle Gila Buff Ware and Gray Ware"
"Chihuahuan Lowlands","Roosevelt Red Ware type, Undifferentiated","Roosevelt Red Ware"
"Chihuahuan Lowlands","Tucson Polychrome","Maverick Mountain Series"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","Playas Red","Playas Red Ware"
"Chihuahuan Lowlands","Huerigos Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Chihuahuan type, Undifferentiated","Chihuahuan Series"
"Chihuahuan Lowlands","St. Johns Polychrome","Early White Mountain Red Ware"
"Chihuahuan Lowlands","Cloverdale Corrugated type","Cloverdale Brown Ware"
"Chihuahuan Lowlands","Carretas Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Ramos Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Villa Ahumada Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","El Paso Polychrome","Jornada Mogollon Brown Ware"
"Chihuahuan Lowlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Chihuahuan Lowlands","Playas Red","Playas Red Ware"
"Chihuahuan Lowlands","Babicora Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Chihuahuan type, Undifferentiated","Chihuahuan Series"
"Chihuahuan Lowlands","Gila Polychrome","Roosevelt Red Ware"
"Chihuahuan Lowlands","Chupadero Black-on-white","Rio Grande White Ware"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","Playas Red","Playas Red Ware"
"Chihuahuan Lowlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Chihuahuan Lowlands","Chihuahuan type, Undifferentiated","Chihuahuan Series"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","St. Johns Polychrome","Early White Mountain Red Ware"
"Chihuahuan Lowlands","Cloverdale Corrugated type","Cloverdale Brown Ware"
"Chihuahuan Lowlands","Villa Ahumada Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","El Paso Polychrome","Jornada Mogollon Brown Ware"
"Chihuahuan Lowlands","Gila Polychrome","Roosevelt Red Ware"
"Chihuahuan Lowlands","Chupadero Black-on-white","Rio Grande White Ware"
"Chihuahuan Lowlands","Babicora Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","Ramos Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Gila Polychrome","Roosevelt Red Ware"
"Chihuahuan Lowlands","Villa Ahumada Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Chihuahuan Lowlands","Carretas Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Huerigos Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Villa Ahumada Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Playas Red","Playas Red Ware"
"Chihuahuan Lowlands","El Paso Polychrome","Jornada Mogollon Brown Ware"
"Chihuahuan Lowlands","Mimbres White Ware, Undifferentiated","Mimbres White Ware"
"Chihuahuan Lowlands","Ramos Polychrome","Chihuahuan Series"
"Chihuahuan Lowlands","Middle Gila Buff Ware, Undifferentiated","Middle Gila Buff Ware and Gray Ware"
"Chihuahuan Lowlands","Cloverdale Corrugated type","Cloverdale Brown Ware"
"Chihuahuan Lowlands","Gila Polychrome","Roosevelt Red Ware"
"Chihuahuan Lowlands","Chihuahuan type, Undifferentiated","Chihuahuan Series"
"Chihuahuan Lowlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Cedar Creek Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Showlow Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Pinedale Black-on-red","Late White Mountain Red Ware"
"Central Arizona Highlands","Gila Polychrome","Roosevelt Red Ware"
"Central Arizona Highlands","Roosevelt Polychrome, Undifferentiated","Roosevelt Red Ware"
"Central Arizona Highlands","Roosevelt Red Ware type, Undifferentiated","Roosevelt Red Ware"
"Central Arizona Highlands","Roosevelt Black-on-red, Undifferentiated","Roosevelt Red Ware"
"Central Arizona Highlands","Grasshopper Polychrome","Grasshopper Ware"
"Central Arizona Highlands","Cibecue Polychrome","Mogollon Brown Ware"
"Central Arizona Highlands","Cibecue Polychrome","Mogollon Brown Ware"
"Central Arizona Highlands","Cedar Creek/Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Pinedale/Cedar Creek Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Cedar Creek Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Showlow Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Pinto Polychrome","Roosevelt Red Ware"
"Central Arizona Highlands","Gila Polychrome","Roosevelt Red Ware"
"Central Arizona Highlands","Roosevelt Polychrome, Undifferentiated","Roosevelt Red Ware"
"Central Arizona Highlands","Roosevelt Red Ware type, Undifferentiated","Roosevelt Red Ware"
"Central Arizona Highlands","Roosevelt Black-on-red, Undifferentiated","Roosevelt Red Ware"
"Central Arizona Highlands","Pinto Black-on-red","Roosevelt Red Ware"
"Central Arizona Highlands","Grasshopper Polychrome","Grasshopper Ware"
"Central Arizona Highlands","Brown Corrugated Decorated, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Cedar Creek/Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Showlow Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Roosevelt Polychrome, Undifferentiated","Roosevelt Red Ware"
"Central Arizona Highlands","Grasshopper Polychrome","Grasshopper Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Gila Polychrome","Roosevelt Red Ware"
"Central Arizona Highlands","Roosevelt Polychrome, Undifferentiated","Roosevelt Red Ware"
"Central Arizona Highlands","Grasshopper Polychrome","Grasshopper Ware"
"Central Arizona Highlands","Cibecue Polychrome","Mogollon Brown Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Grasshopper Polychrome","Grasshopper Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Salado Red","Salado Series"
"Central Arizona Highlands","Salado Red","Salado Series"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Grasshopper Polychrome","Grasshopper Ware"
"Central Arizona Highlands","Salado Red","Salado Series"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Pinedale Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Gila Polychrome","Roosevelt Red Ware"
"Central Arizona Highlands","Roosevelt Polychrome, Undifferentiated","Roosevelt Red Ware"
"Central Arizona Highlands","Salado Red Plain","Salado Series"
"Central Arizona Highlands","Salado Red","Salado Series"
"Central Arizona Highlands","Salado Red","Salado Series"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Cedar Creek Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Showlow Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Grasshopper Polychrome","Grasshopper Ware"
"Central Arizona Highlands","Cibecue Polychrome","Mogollon Brown Ware"
"Central Arizona Highlands","Salado Red","Salado Series"
"Central Arizona Highlands","Salado Red","Salado Series"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Cedar Creek Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Showlow Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Salado Red","Salado Series"
"Central Arizona Highlands","Salado Red","Salado Series"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Salado Red","Salado Series"
"Central Arizona Highlands","Salado Red","Salado Series"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Cibecue Polychrome","Mogollon Brown Ware"
"Central Arizona Highlands","Pinedale Black-on-red","Late White Mountain Red Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Showlow Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Grasshopper Polychrome","Grasshopper Ware"
"Central Arizona Highlands","Pinedale Black-on-red","Late White Mountain Red Ware"
"Central Arizona Highlands","Cedar Creek Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Roosevelt Polychrome, Undifferentiated","Roosevelt Red Ware"
"Central Arizona Highlands","Grasshopper Polychrome","Grasshopper Ware"
"Central Arizona Highlands","Pinedale Black-on-red","Late White Mountain Red Ware"
"Central Arizona Highlands","Cedar Creek Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Showlow Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Pinto-Gila Polychrome","Roosevelt Red Ware"
"Central Arizona Highlands","Gila Polychrome","Roosevelt Red Ware"
"Central Arizona Highlands","Roosevelt Polychrome, Undifferentiated","Roosevelt Red Ware"
"Central Arizona Highlands","Roosevelt Red Ware type, Undifferentiated","Roosevelt Red Ware"
"Central Arizona Highlands","Grasshopper Polychrome","Grasshopper Ware"
"Central Arizona Highlands","Cibecue Polychrome","Mogollon Brown Ware"
"Central Arizona Highlands","Jeddito Yellow ware, Undifferentiated","Jeddito Yellow Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Showlow Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Gila Polychrome","Roosevelt Red Ware"
"Central Arizona Highlands","Brown Corrugated Decorated, Undifferentiated","Mogollon Brown Ware"
"Central Arizona Highlands","Pinedale Black-on-red","Late White Mountain Red Ware"
"Central Arizona Highlands","Cedar Creek Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Pinto Black-on-red","Roosevelt Red Ware"
"Central Arizona Highlands","Gila Polychrome","Roosevelt Red Ware"
"Central Arizona Highlands","Grasshopper Polychrome","Grasshopper Ware"
"Central Arizona Highlands","Cibola Black-on-white, Undifferentiated","Cibola White Ware"
"Upper Gila","Fourmile Polychrome","Late White Mountain Red Ware"
"Upper Gila","Showlow Polychrome","Late White Mountain Red Ware"
"Upper Gila","Cedar Creek/Fourmile Polychrome","Late White Mountain Red Ware"
"Upper Gila","Gila Polychrome","Roosevelt Red Ware"
"Upper Gila","Roosevelt Polychrome, Undifferentiated","Roosevelt Red Ware"
"Upper Gila","Roosevelt Polychrome, Undifferentiated","Roosevelt Red Ware"
"Upper Gila","Grasshopper Polychrome","Grasshopper Ware"
"Upper Gila","Kinishba Polychrome","Kinishba Ware"
"Upper Gila","Kinishba Polychrome","Kinishba Ware"
"Central Arizona Highlands","Cedar Creek/Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Pinto-Gila Polychrome","Roosevelt Red Ware"
"Central Arizona Highlands","Tonto Polychrome","Roosevelt Red Ware"
"Central Arizona Highlands","Grasshopper Polychrome","Grasshopper Ware"
"Central Arizona Highlands","Pinedale Black-on-red","Late White Mountain Red Ware"
"Central Arizona Highlands","Pinedale Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Cedar Creek Polychrome","Late White Mountain Red Ware"
"Central Arizona Highlands","Fourmile Polychrome","Late White Mountain Red Ware"
